chunk_id,question,chunking_strategy,token_count,hit_rate_at_k,first_position_accuracy,rank,similarity_score,found,precision_at_1,precision_at_3,precision_at_5,precision_at_10,recall_at_1,recall_at_3,recall_at_5,recall_at_10,top_k_recall,top_1_precision
752db7d8-9a5f-45c6-958b-025b59d39d70,"Who is the author of ""The Jungle Book""?",semantic,14,1,1,1.0,0.7422945210582589,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
2f106bda-fac4-4dd1-9ec6-5180d26e0304,What does Tabaqui find to eat in Father Wolf's cave?,semantic,1012,1,1,1.0,0.4953558740231925,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
1c2fe2bd-5bcc-469e-935e-45990b953277,What did Father Wolf think about Shere Khan's request for the man's cub?,semantic,1015,1,0,2.0,0.6540574247768658,True,0.0,0.3333333333333333,0.2,0.1,0.0,1.0,1.0,1.0,1,0
5281b368-0a70-411b-88a7-43bfb17f2faa,What does the Law of the Jungle require a wolf to do when his cubs are old enough?,semantic,760,1,1,1.0,0.6034313147412776,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
f396c4c5-1a1f-428c-b61e-7a16032cf324,What did Bagheera propose regarding the life of the man's cub at the Pack Council?,semantic,1018,1,1,1.0,0.6188287507789594,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
220a3705-5a7d-4987-8875-3d5b95a5fb57,What was the price paid for Mowgli to be accepted into the Seeonee Wolf Pack?,semantic,448,1,1,1.0,0.6417352984267117,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
e6a21f74-1c6b-4a8d-877b-eddc14bd5a06,What did Bagheera teach Mowgli about the Law of the Jungle regarding cattle?,semantic,991,1,1,1.0,0.6349187332488662,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
7a846e8e-61a2-4fbb-99e5-3a5221a23be9,What does Bagheera tell Mowgli about the reason the other wolves might want to kill him?,semantic,909,1,0,2.0,0.6208739691712294,True,0.0,0.3333333333333333,0.2,0.1,0.0,1.0,1.0,1.0,1,0
77cf01c1-285e-4885-a82b-77e5ccdf8444,"What did Bagheera mean by the ""Red Flower""?",semantic,1016,1,1,1.0,0.4808559727158639,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
d9900e94-1cbe-4869-b696-6e24c89cd109,What did Mowgli do with the fire pot while sitting in the cave?,semantic,932,0,0,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
b974662e-3088-43c9-8798-84dbe964508f,What does Mowgli promise to the Pack before he leaves them?,semantic,950,1,0,2.0,0.6410255860059755,True,0.0,0.3333333333333333,0.2,0.1,0.0,1.0,1.0,1.0,1,0
81d1f337-0dc4-4ac5-beca-5108d20890e2,What did Mowgli promise to do when he returned to the jungle?,semantic,566,1,0,3.0,0.5896391517138997,True,0.0,0.3333333333333333,0.2,0.1,0.0,1.0,1.0,1.0,1,0
648ab646-0060-44ae-9642-a5c06ab176c1,What did the Sambhur do as dawn was breaking in the Hunting-Song of the Seeonee Pack?,semantic,172,1,1,1.0,0.7164474085169447,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
10763cd2-758a-469b-9d0a-75ef5b9e972a,What did Baloo say to Bagheera when Mowgli had been cuffed and ran off in a temper?,semantic,1012,1,0,5.0,0.6034651342152203,True,0.0,0.0,0.2,0.1,0.0,0.0,1.0,1.0,1,0
a7e3241a-1bef-480d-9cf5-2c7220d6079b,What did the Monkey People offer Mowgli when they found him?,semantic,957,0,0,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
23185e9a-b8ee-48c5-b2e0-de52fc5667e0,What did Baloo say about the Monkey-Folk and their way of life?,semantic,1001,1,1,1.0,0.6438689211489789,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
1ca1145a-c0c9-44b9-b89c-0aaa8bcca052,What did Mowgli shout to Rann the Kite while being swung through the air by the monkeys?,semantic,1003,1,1,1.0,0.65289306640625,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
7b029954-e578-41d2-ba63-a08e299866cb,What did Baloo wish he had done instead of breaking Mowgli's head?,semantic,968,0,0,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6565dcc7-e3d8-4540-844a-9ad623cd3a61,What did Kaa say about the Bandar-log's behavior towards the man-cub?,semantic,998,1,1,1.0,0.6177327264706755,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
d0b16fc2-dcad-451b-af11-4d5376791cd4,What did Rann the Kite tell Baloo about Mowgli's whereabouts?,semantic,1001,1,0,2.0,0.5534982947410257,True,0.0,0.3333333333333333,0.2,0.1,0.0,1.0,1.0,1.0,1,0
dfd2168c-ea5b-4105-85b1-09c02a783020,What did Mowgli wish for when he felt sore and angry after being captured by the monkeys?,semantic,922,1,0,2.0,0.6007756769888307,True,0.0,0.3333333333333333,0.2,0.1,0.0,1.0,1.0,1.0,1,0
17955493-17d2-4384-b3fc-ffe765949299,What did the monkeys do when they saw Bagheera on the terrace?,semantic,1001,1,1,1.0,0.5616448615510948,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
a67d1f1b-9fb4-4215-b548-4ad34fa10536,What did Bagheera do when he realized he needed protection during the fight with the monkeys?,semantic,967,1,0,2.0,0.5654443592926005,True,0.0,0.3333333333333333,0.2,0.1,0.0,1.0,1.0,1.0,1,0
b24e4257-2402-4644-a318-b680acf364cf,What did Mowgli promise Kaa after being saved from the trap?,semantic,1000,1,0,2.0,0.6019441126618329,True,0.0,0.3333333333333333,0.2,0.1,0.0,1.0,1.0,1.0,1,0
ec4df422-f494-489f-8a89-38e044c2baf1,What did Kaa ask the monkeys before beginning the Dance of the Hunger?,semantic,930,1,1,1.0,0.5720031771656104,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
ce25fca7-cb5f-43ce-ae2e-7313a4009c36,What did Mowgli do that caused trouble for Baloo and Bagheera?,semantic,377,1,0,2.0,0.623131141289341,True,0.0,0.3333333333333333,0.2,0.1,0.0,1.0,1.0,1.0,1,0
beeaf5c0-62cf-4076-9dc9-477a81d91fa4,What do the Bandar-Log wish they could do in a minute or two?,semantic,288,1,1,1.0,0.4096859151312171,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
3dc85c84-2f03-40e5-95a0-714bd70d0e81,What did Mowgli think about the way the villagers behaved when they saw him?,semantic,970,1,0,4.0,0.6082960935786136,True,0.0,0.0,0.2,0.1,0.0,0.0,1.0,1.0,1,0
d1a95788-f224-4d7e-8a3b-64d4b6a9ff27,What did Messua remember that made her think Mowgli might be her son Nathoo?,semantic,974,1,1,1.0,0.5906867980957073,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
e952eefb-66c8-4af3-9b83-e61656ab15ce,What did Mowgli think about Buldeo's stories of the tiger and the ghost of the money-lender?,semantic,876,1,1,1.0,0.6980969337907675,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
b9660d70-631d-49b5-9275-59cbd183d2f4,What did Mowgli tell Kamya to do while he went on with the buffaloes?,semantic,971,1,1,1.0,0.6581659701713948,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
3c91a649-b0d9-4001-9782-0f4efaf8ddfe,What did Mowgli ask Gray Brother to do with the herd before they confronted Shere Khan?,semantic,1008,1,1,1.0,0.6477917239728083,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
e118b491-c3e0-4b70-9d17-89d608de56d2,What was Mowgli's plan for dealing with Shere Khan using the bulls?,semantic,696,1,0,2.0,0.6170989826708125,True,0.0,0.3333333333333333,0.2,0.1,0.0,1.0,1.0,1.0,1,0
dd5a32ca-b828-4167-9fed-afc215b31716,What did Buldeo plan to do with Shere Khan's skin after Mowgli skinned the tiger?,semantic,1014,1,1,1.0,0.6301320350327578,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
36f18ef8-80a0-4c01-8559-cd89b9110c0e,What did Buldeo tell the villagers about Mowgli that made them react with fear?,semantic,980,1,0,2.0,0.628628529824528,True,0.0,0.3333333333333333,0.2,0.1,0.0,1.0,1.0,1.0,1,0
431ac16d-8a1b-4f6e-8560-1f298fa630b4,What did Mowgli bring to the Council Rock to keep his word?,semantic,900,0,0,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
bd244808-a3f7-4d3c-a53f-37b5a9ab20e7,What does Mowgli sing about at the Council Rock?,semantic,753,1,1,1.0,0.679069478567275,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
83579035-ac57-4055-883d-6c9326b63ace,What did Sea Catch do after he finished his forty-fifth fight in the spring?,semantic,997,1,1,1.0,0.40347130257233643,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
d0627920-a254-47db-9db8-f68e40b2ecc4,"What did Matkah sing to her baby seal, Kotick?",semantic,975,1,1,1.0,0.6452168226242065,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
71029a69-b4f1-4f7d-8102-1e835d40ced9,What did Matkah teach Kotick about the meaning of a tingling tail while swimming?,semantic,986,1,1,1.0,0.5345873791471267,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
da620921-dcdd-44a7-b3d3-fb0c3f27aca6,What did Kotick feel as he remembered the beaches of Novastoshnah while lying in the water off the Island of Juan Fernandez?,semantic,996,1,0,2.0,0.46402891087446885,True,0.0,0.3333333333333333,0.2,0.1,0.0,1.0,1.0,1.0,1,0
4cfd58e9-d4d8-485e-b902-e9270c734fed,What did the Sea Lion suggest Kotick do after he expressed his feelings about the killing of the seals?,semantic,977,1,1,1.0,0.5446035699664601,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
63f35065-030a-4100-b0e4-ef04fca4197f,What did Kotick hope to find in his search across the sea?,semantic,990,1,0,2.0,0.48025900478500816,True,0.0,0.3333333333333333,0.2,0.1,0.0,1.0,1.0,1.0,1,0
dd9122d3-ce4c-4bf8-a924-3004f76c4cca,What did the old seal tell Kotick about the Lost Rookery of Masafuera?,semantic,929,1,1,1.0,0.5492064508180476,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
57106ae4-bafc-411d-b5ec-de61f3e2bfe1,What unique feature prevents Sea Cow from being able to talk?,semantic,955,1,1,1.0,0.42501601129865785,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
9b43b332-7ec1-4dcc-ada7-4f0203842b60,What did Kotick discover that made him believe he found a safe place for the seals?,semantic,886,1,1,1.0,0.5248074873937654,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
2e5fa6b3-37f1-40fd-91ab-9b53e3836a6e,What did Kotick do after he taught the other seals their lesson following the fight?,semantic,813,1,1,1.0,0.5508064895387605,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
76a7c36d-57bc-4678-8001-85851c89fa53,"What is the significance of the song ""Lukannon"" to the St. Paul seals?",semantic,388,1,1,1.0,0.6443935208789777,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
771dcac8-450d-488a-9889-8f60d14959a4,What did the big man do when he found Rikki-tikki-Tavi?,semantic,862,1,1,1.0,0.6405502986251997,True,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1,1
