chunk_id,question,top_k_recall,top_1_precision,rank,similarity_score,found,chunking_strategy,token_count
752db7d8-9a5f-45c6-958b-025b59d39d70,Who is the author of The Jungle Book?,1,1,1.0,0.7423584018732083,True,semantic,14
2f106bda-fac4-4dd1-9ec6-5180d26e0304,What does Tabaqui find to eat in Father Wolf's cave?,0,0,,,False,semantic,1012
1c2fe2bd-5bcc-469e-935e-45990b953277,What did Father Wolf think about Shere Khan's demand for the man's cub?,0,0,,,False,semantic,1015
5281b368-0a70-411b-88a7-43bfb17f2faa,What must Father Wolf do with the cub once he is old enough to stand on his feet?,0,0,,,False,semantic,760
f396c4c5-1a1f-428c-b61e-7a16032cf324,What does Bagheera propose as a way to settle the doubt regarding Mowgli's acceptance into the Pack?,0,0,,,False,semantic,1018
220a3705-5a7d-4987-8875-3d5b95a5fb57,What did Bagheera offer in exchange for the acceptance of Mowgli into the Pack?,0,0,,,False,semantic,448
e6a21f74-1c6b-4a8d-877b-eddc14bd5a06,What did Bagheera teach Mowgli about the Law of the Jungle regarding cattle?,0,0,,,False,semantic,991
7a846e8e-61a2-4fbb-99e5-3a5221a23be9,What mark does Bagheera carry that is a reminder of his past among men?,0,0,,,False,semantic,909
77cf01c1-285e-4885-a82b-77e5ccdf8444,"What did Bagheera mean by ""Red Flower""?",0,0,,,False,semantic,1016
d9900e94-1cbe-4869-b696-6e24c89cd109,What did Akela say he had done for the Pack during the twelve seasons he led them?,0,0,,,False,semantic,932
b974662e-3088-43c9-8798-84dbe964508f,What does Mowgli promise to the wolves before he leaves them?,0,0,,,False,semantic,950
81d1f337-0dc4-4ac5-beca-5108d20890e2,What did Mowgli promise to bring when he returned to the jungle?,0,0,,,False,semantic,566
648ab646-0060-44ae-9642-a5c06ab176c1,What did the Sambhur do as dawn was breaking in the Hunting-Song of the Seeonee Pack?,1,1,1.0,0.7164474085169447,True,semantic,172
10763cd2-758a-469b-9d0a-75ef5b9e972a,What are the Master Words of the Jungle that Baloo is teaching Mowgli?,1,1,1.0,0.7120882019891549,True,semantic,1012
a7e3241a-1bef-480d-9cf5-2c7220d6079b,What did the Monkey People promise Mowgli he could do?,0,0,,,False,semantic,957
23185e9a-b8ee-48c5-b2e0-de52fc5667e0,What did Baloo say about the Monkey-Folk and their lack of law?,0,0,,,False,semantic,1001
1ca1145a-c0c9-44b9-b89c-0aaa8bcca052,What did Mowgli shout to Rann the Kite as he was being swung through the air by the monkeys?,0,0,,,False,semantic,1003
7b029954-e578-41d2-ba63-a08e299866cb,What did Baloo hope to achieve by finding Kaa the Rock Python?,0,0,,,False,semantic,968
6565dcc7-e3d8-4540-844a-9ad623cd3a61,What did Kaa say about the Bandar-log and their attitude towards a man-thing in their hands?,0,0,,,False,semantic,998
d0b16fc2-dcad-451b-af11-4d5376791cd4,What did Rann the Kite see Mowgli doing among the Bandar-log?,0,0,,,False,semantic,1001
dfd2168c-ea5b-4105-85b1-09c02a783020,What did Mowgli wish for while he was with the Bandar-log in the empty city?,0,0,,,False,semantic,922
17955493-17d2-4384-b3fc-ffe765949299,What did the monkeys do to Mowgli after pushing him through the hole of the broken dome?,0,0,,,False,semantic,1001
a67d1f1b-9fb4-4215-b548-4ad34fa10536,What did Bagheera do when he believed Kaa had turned tail at the last minute?,0,0,,,False,semantic,967
b24e4257-2402-4644-a318-b680acf364cf,What did Mowgli promise Kaa in gratitude for saving his life?,0,0,,,False,semantic,1000
ec4df422-f494-489f-8a89-38e044c2baf1,What did Kaa ask the monkeys before starting the Dance of the Hunger of Kaa?,0,0,,,False,semantic,930
ce25fca7-cb5f-43ce-ae2e-7313a4009c36,What punishment did Mowgli receive from Bagheera after acknowledging his wrongdoing?,0,0,,,False,semantic,377
beeaf5c0-62cf-4076-9dc9-477a81d91fa4,"What do the Bandar-Log claim they are going to do that is ""noble and wise and good""?",0,0,,,False,semantic,288
3dc85c84-2f03-40e5-95a0-714bd70d0e81,What did Mowgli think about the crowd's behavior when he arrived at the village?,0,0,,,False,semantic,970
d1a95788-f224-4d7e-8a3b-64d4b6a9ff27,What did Mowgli think about sleeping under the roof of the hut?,0,0,,,False,semantic,974
e952eefb-66c8-4af3-9b83-e61656ab15ce,What did Mowgli think about Buldeo's storytelling regarding the tiger that carried away Messua's son?,0,0,,,False,semantic,876
b9660d70-631d-49b5-9275-59cbd183d2f4,What did Mowgli ask Gray Brother to do while he was herding the buffaloes?,0,0,,,False,semantic,971
3c91a649-b0d9-4001-9782-0f4efaf8ddfe,What did Mowgli ask Gray Brother to do with the herd?,0,0,,,False,semantic,1008
e118b491-c3e0-4b70-9d17-89d608de56d2,What was Mowgli's plan for dealing with Shere Khan?,0,0,,,False,semantic,696
dd5a32ca-b828-4167-9fed-afc215b31716,What did Mowgli think about Buldeo's intention to take Shere Khan's skin to Khanhiwara for the reward?,0,0,,,False,semantic,1014
36f18ef8-80a0-4c01-8559-cd89b9110c0e,What did Buldeo accuse Mowgli of being after witnessing his actions with the buffaloes?,0,0,,,False,semantic,980
431ac16d-8a1b-4f6e-8560-1f298fa630b4,What did Mowgli bring back to the Council Rock to keep his word?,0,0,,,False,semantic,900
bd244808-a3f7-4d3c-a53f-37b5a9ab20e7,What does Mowgli ask Shere Khan to lend him before he goes to the Council Rock?,0,0,,,False,semantic,753
83579035-ac57-4055-883d-6c9326b63ace,What is the name of Sea Catch's wife?,0,0,,,False,semantic,997
d0627920-a254-47db-9db8-f68e40b2ecc4,"What did Matkah sing to her baby seal, Kotick?",0,0,,,False,semantic,975
71029a69-b4f1-4f7d-8102-1e835d40ced9,What did Matkah teach Kotick about the sensation of his tail tingling?,0,0,,,False,semantic,986
da620921-dcdd-44a7-b3d3-fb0c3f27aca6,What did Patalamon think about Kotick when he first saw him?,0,0,,,False,semantic,996
4cfd58e9-d4d8-485e-b902-e9270c734fed,What did Kotick think was happening to his friends when he saw them at the killing-grounds?,0,0,,,False,semantic,977
63f35065-030a-4100-b0e4-ef04fca4197f,What did Sea Vitch suggest Kotick do to find out about a place where men don't come?,0,0,,,False,semantic,990
dd9122d3-ce4c-4bf8-a924-3004f76c4cca,What did the old seal say about the story of the white seal leading the seal people to a quiet place?,0,0,,,False,semantic,929
57106ae4-bafc-411d-b5ec-de61f3e2bfe1,What did Kotick notice about the sea cows' upper lips while they were feeding?,0,0,,,False,semantic,955
9b43b332-7ec1-4dcc-ada7-4f0203842b60,What did Kotick assure himself of first when he arrived at the new location?,0,0,,,False,semantic,886
2e5fa6b3-37f1-40fd-91ab-9b53e3836a6e,What did Kotick do to the biggest sea catch he could find during his charge into the nurseries?,0,0,,,False,semantic,813
76a7c36d-57bc-4678-8001-85851c89fa53,What do the St. Paul seals sing as they head back to their beaches in the summer?,0,0,,,False,semantic,388
771dcac8-450d-488a-9889-8f60d14959a4,What did Rikki-tikki do after he was dried and warmed up by the family?,0,0,,,False,semantic,862
f6791ca1-0a68-442f-87a4-99d024ed9972,What did Rikki-tikki do when he first entered the garden?,0,0,,,False,semantic,968
af227ae7-9ea9-4376-8a75-f89a9ddb1ff0,What did Rikki-tikki feel when he saw Nagaina try to attack him?,0,0,,,False,semantic,930
